epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
48	0.0192	0.9545	0.1157	0.5647	0.3949	40	0.4162
49	0.0189	0.9555	0.1726	0.5584	0.4274	49	0.4274
50	0.02	0.9531	0.1721	0.5376	0.4244	49	0.4274
51	0.0199	0.9521	0.1698	0.5831	0.4167	49	0.4274
0	0.2633	0.6854	4.9324	0.2802	0.5746	0	0.5746
52	0.0175	0.9571	0.139	0.5913	0.3973	49	0.4274
1	0.1114	0.7592	1.2902	0.2468	0.6209	1	0.6209
2	0.0873	0.8072	0.8867	0.2788	0.5786	1	0.6209
53	0.0164	0.9605	0.1138	0.5898	0.4486	53	0.4486
3	0.0671	0.8749	0.8128	0.3042	0.5682	1	0.6209
54	0.0148	0.9633	0.1235	0.6102	0.4402	53	0.4486
4	0.0527	0.8971	0.7735	0.2776	0.5902	1	0.6209
55	0.0142	0.966	0.1193	0.6148	0.4261	53	0.4486
5	0.0405	0.9198	0.5342	0.2964	0.5881	1	0.6209
56	0.0146	0.9653	0.1202	0.607	0.4354	53	0.4486
6	0.0327	0.935	0.4341	0.2987	0.5916	1	0.6209
57	0.0145	0.9653	0.1178	0.6147	0.4433	53	0.4486
7	0.0273	0.9458	0.3255	0.3476	0.5749	1	0.6209
58	0.0149	0.9656	0.1343	0.6265	0.4317	53	0.4486
8	0.0238	0.9527	0.2907	0.3305	0.5842	1	0.6209
9	0.0212	0.9561	0.2256	0.3419	0.5871	1	0.6209
59	0.0149	0.9645	0.1535	0.6387	0.412	53	0.4486
10	0.0193	0.9599	0.1974	0.3296	0.601	1	0.6209
60	0.0151	0.9656	0.1499	0.6376	0.3939	53	0.4486
11	0.0178	0.9635	0.1746	0.3446	0.6034	1	0.6209
61	0.0175	0.958	0.1797	0.6284	0.4127	53	0.4486
12	0.0164	0.9654	0.1337	0.3324	0.6082	1	0.6209
62	0.0179	0.9606	0.1962	0.5786	0.4404	53	0.4486
13	0.0154	0.9674	0.1207	0.3469	0.6056	1	0.6209
63	0.0176	0.9583	0.1692	0.6266	0.4286	53	0.4486
14	0.0145	0.9697	0.1235	0.3703	0.5998	1	0.6209
15	0.0136	0.9709	0.1068	0.3549	0.6093	1	0.6209
64	0.0163	0.9621	0.1454	0.5496	0.4656	64	0.4656
16	0.0128	0.9726	0.1054	0.388	0.5969	1	0.6209
65	0.0151	0.9626	0.1383	0.6096	0.4421	64	0.4656
17	0.0123	0.9735	0.1	0.396	0.5982	1	0.6209
66	0.0139	0.9658	0.1044	0.6368	0.4029	64	0.4656
